 , , ,
1.000000000000000000e+00,1.873005962371826172e+01,2.000000000000000000e+00,4.530000000000000000e+02
2.000000000000000000e+00,3.322647738456726074e+01,3.000000000000000000e+00,6.240000000000000000e+02
3.000000000000000000e+00,4.658274507522583008e+01,4.000000000000000000e+00,7.770000000000000000e+02
4.000000000000000000e+00,6.521892213821411133e+01,5.000000000000000000e+00,9.210000000000000000e+02
5.000000000000000000e+00,8.383940410614013672e+01,9.000000000000000000e+00,1.056000000000000000e+03
6.000000000000000000e+00,1.020695862770080566e+02,1.100000000000000000e+01,1.155000000000000000e+03
7.000000000000000000e+00,1.238300738334655762e+02,1.200000000000000000e+01,1.236000000000000000e+03
8.000000000000000000e+00,1.321093835830688477e+02,1.300000000000000000e+01,1.308000000000000000e+03
9.000000000000000000e+00,1.467934112548828125e+02,1.500000000000000000e+01,1.362000000000000000e+03
1.200000000000000000e+01,1.705846335887908936e+02,1.600000000000000000e+01,1.470000000000000000e+03
1.900000000000000000e+01,2.477851114273071289e+02,1.700000000000000000e+01,1.659000000000000000e+03
2.000000000000000000e+01,2.537368190288543701e+02,1.800000000000000000e+01,1.677000000000000000e+03
2.200000000000000000e+01,2.648904511928558350e+02,1.900000000000000000e+01,1.695000000000000000e+03
