 , , ,
5.000000000000000000e+00,4.535169982910156250e+01,4.000000000000000000e+00,6.950000000000000000e+02
1.000000000000000000e+01,1.090699112415313721e+02,1.300000000000000000e+01,1.085000000000000000e+03
1.500000000000000000e+01,1.729485051631927490e+02,1.500000000000000000e+01,1.320000000000000000e+03
2.000000000000000000e+01,2.405166075229644775e+02,1.800000000000000000e+01,1.495000000000000000e+03
2.500000000000000000e+01,3.080970218181610107e+02,2.000000000000000000e+01,1.625000000000000000e+03
3.000000000000000000e+01,3.685135612487792969e+02,2.100000000000000000e+01,1.725000000000000000e+03
3.500000000000000000e+01,4.278564302921295166e+02,2.100000000000000000e+01,1.800000000000000000e+03
4.000000000000000000e+01,4.606326594352722168e+02,2.100000000000000000e+01,1.850000000000000000e+03
4.500000000000000000e+01,5.075267877578735352e+02,2.100000000000000000e+01,1.900000000000000000e+03
5.000000000000000000e+01,5.373474984169006348e+02,2.300000000000000000e+01,1.930000000000000000e+03
5.500000000000000000e+01,5.442433600425720215e+02,2.300000000000000000e+01,1.930000000000000000e+03
6.000000000000000000e+01,5.379598457813262939e+02,2.300000000000000000e+01,1.930000000000000000e+03
6.500000000000000000e+01,5.383412652015686035e+02,2.300000000000000000e+01,1.930000000000000000e+03
7.000000000000000000e+01,5.369479579925537109e+02,2.300000000000000000e+01,1.930000000000000000e+03
7.500000000000000000e+01,5.423093466758728027e+02,2.300000000000000000e+01,1.930000000000000000e+03
8.000000000000000000e+01,5.411064400672912598e+02,2.300000000000000000e+01,1.930000000000000000e+03
8.500000000000000000e+01,5.404034276008605957e+02,2.300000000000000000e+01,1.930000000000000000e+03
9.500000000000000000e+01,5.395546374320983887e+02,2.300000000000000000e+01,1.930000000000000000e+03
1.050000000000000000e+02,5.323429009914398193e+02,2.300000000000000000e+01,1.930000000000000000e+03
1.150000000000000000e+02,5.392473971843719482e+02,2.300000000000000000e+01,1.930000000000000000e+03
1.200000000000000000e+02,5.371228816509246826e+02,2.300000000000000000e+01,1.930000000000000000e+03
1.400000000000000000e+02,5.361857225894927979e+02,2.300000000000000000e+01,1.930000000000000000e+03
1.600000000000000000e+02,5.342173440456390381e+02,2.300000000000000000e+01,1.930000000000000000e+03
1.800000000000000000e+02,5.359356744289398193e+02,2.300000000000000000e+01,1.930000000000000000e+03
2.000000000000000000e+02,5.378884544372558594e+02,2.300000000000000000e+01,1.930000000000000000e+03
